-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2647,2643,2639,2635,2630,2626,2620,2615,2609,2603,2597,2591,2584,2577,2570,2562,2555,2547,2538,2530,2521,2512,2502,2493,2482,2469,2455,2439,2421,2402,2381,2359,2335,2310,2284,2257,2229,2201,2172,2143,2113,2084,2054,2025,1996,1968,1940,1913,1887,1862,1838,1815,1793,1772,1753,1734,1715,1695,1675,1655,1634,1613,1592,1570,1548,1526,1503,1480,1457,1433,1409,1384,1359,1333,1307,1281,1254,1226,1198,1169,1140,1110,1080,1048,1016,983,949,914,878,840
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2657,2654,2651,2649,2645,2642,2638,2634,2630,2625,2620,2615,2610,2604,2598,2592,2586,2579,2572,2564,2557,2549,2540,2531,2520,2507,2493,2476,2458,2439,2418,2395,2372,2347,2321,2295,2267,2240,2212,2183,2155,2126,2098,2070,2043,2016,1990,1965,1941,1918,1896,1875,1855,1837,1818,1800,1781,1762,1742,1722,1702,1681,1660,1638,1616,1593,1571,1547,1523,1499,1474,1449,1423,1397,1370,1343,1314,1286,1256,1226,1195,1163,1130,1096,1062,1026,988,949,908,865
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2748,2745,2743,2740,2737,2734,2730,2727,2723,2718,2714,2709,2705,2699,2694,2689,2683,2677,2670,2664,2657,2650,2643,2635,2627,2616,2604,2590,2574,2557,2537,2517,2495,2472,2448,2422,2396,2370,2343,2316,2288,2261,2234,2208,2182,2156,2132,2108,2086,2064,2044,2025,2007,1991,1975,1959,1943,1926,1909,1892,1874,1856,1838,1819,1800,1780,1760,1740,1720,1698,1677,1655,1633,1610,1586,1562,1538,1513,1487,1461,1433,1406,1377,1347,1317,1285,1252,1217,1181,1143
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2803,2801,2798,2796,2793,2790,2787,2783,2779,2775,2771,2767,2762,2757,2752,2747,2742,2736,2730,2724,2717,2710,2703,2696,2688,2678,2666,2653,2638,2621,2603,2584,2563,2541,2518,2494,2469,2443,2417,2391,2365,2338,2312,2286,2260,2235,2210,2187,2164,2142,2122,2102,2084,2066,2051,2035,2019,2003,1987,1970,1953,1936,1918,1900,1882,1863,1844,1824,1805,1784,1764,1743,1721,1699,1677,1654,1630,1606,1581,1556,1530,1503,1476,1447,1418,1388,1356,1323,1289,1253
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2770,2766,2762,2758,2753,2748,2743,2738,2732,2726,2720,2714,2707,2700,2693,2686,2678,2670,2662,2654,2645,2636,2627,2617,2605,2592,2577,2560,2542,2522,2501,2479,2455,2431,2405,2379,2352,2324,2296,2268,2239,2211,2182,2154,2127,2100,2073,2047,2022,1998,1975,1953,1932,1913,1894,1876,1857,1838,1819,1799,1779,1759,1738,1717,1696,1674,1651,1629,1606,1582,1559,1534,1509,1484,1458,1432,1405,1377,1349,1321,1291,1261,1230,1198,1165,1130,1095,1058,1020,980
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2361,2359,2356,2354,2351,2348,2345,2342,2338,2334,2330,2326,2322,2317,2312,2307,2301,2296,2290,2284,2278,2271,2264,2257,2247,2235,2222,2207,2190,2172,2152,2131,2109,2086,2062,2037,2011,1985,1959,1933,1906,1880,1855,1830,1806,1782,1760,1739,1718,1699,1682,1665,1650,1636,1621,1606,1591,1576,1560,1544,1527,1510,1493,1476,1458,1440,1422,1403,1384,1365,1345,1325,1304,1283,1262,1240,1217,1194,1171,1147,1122,1097,1071,1045,1017,989,960,929,897,864
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2776,2772,2769,2765,2760,2756,2751,2746,2741,2736,2730,2725,2719,2712,2706,2699,2692,2685,2677,2670,2662,2654,2645,2636,2625,2612,2597,2581,2563,2544,2523,2501,2477,2453,2428,2402,2375,2348,2320,2292,2265,2237,2210,2183,2156,2130,2105,2081,2058,2036,2015,1995,1977,1960,1943,1926,1908,1890,1872,1854,1835,1816,1796,1777,1756,1736,1715,1693,1672,1649,1627,1604,1580,1556,1531,1506,1480,1454,1427,1399,1371,1342,1312,1280,1248,1215,1181,1144,1107,1067
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2619,2617,2614,2612,2608,2605,2601,2598,2593,2589,2584,2580,2575,2569,2564,2558,2552,2545,2539,2532,2525,2518,2510,2502,2493,2483,2470,2456,2441,2423,2404,2384,2362,2339,2315,2291,2265,2239,2212,2185,2157,2130,2103,2076,2049,2023,1998,1973,1949,1927,1905,1884,1865,1847,1830,1813,1797,1780,1762,1745,1727,1708,1689,1671,1651,1631,1611,1591,1570,1549,1528,1506,1483,1460,1437,1414,1389,1365,1339,1314,1287,1260,1233,1204,1175,1145,1114,1081,1048,1013
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2707,2703,2699,2695,2691,2686,2681,2676,2671,2665,2659,2653,2646,2640,2633,2625,2618,2610,2602,2594,2585,2576,2567,2557,2546,2532,2517,2501,2482,2463,2442,2419,2396,2371,2346,2319,2292,2264,2236,2208,2180,2151,2123,2095,2067,2040,2013,1988,1963,1938,1915,1893,1872,1852,1834,1815,1797,1778,1758,1739,1719,1699,1678,1657,1636,1614,1592,1569,1547,1523,1500,1476,1451,1426,1401,1375,1348,1321,1294,1266,1237,1208,1178,1147,1115,1082,1049,1014,977,940
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2822,2819,2814,2810,2805,2800,2795,2790,2784,2778,2772,2765,2759,2752,2745,2737,2729,2722,2713,2705,2696,2687,2678,2666,2653,2638,2621,2603,2584,2563,2541,2517,2493,2468,2441,2415,2387,2359,2331,2303,2275,2247,2219,2191,2165,2138,2113,2088,2064,2041,2019,1999,1979,1960,1942,1924,1905,1886,1866,1847,1826,1806,1785,1764,1742,1720,1698,1675,1651,1628,1603,1579,1554,1528,1502,1475,1448,1420,1391,1361,1331,1300,1268,1236,1202,1167,1130,1092,1053,1011
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2811,2809,2807,2805,2802,2799,2795,2792,2788,2784,2780,2775,2770,2765,2760,2754,2749,2742,2736,2729,2722,2715,2708,2700,2691,2681,2668,2654,2637,2620,2600,2579,2557,2533,2508,2483,2456,2429,2402,2374,2346,2318,2291,2263,2237,2210,2185,2161,2138,2115,2094,2075,2056,2039,2022,2005,1988,1971,1953,1934,1916,1897,1877,1858,1838,1817,1796,1775,1753,1731,1709,1686,1662,1638,1614,1589,1564,1538,1511,1484,1456,1427,1398,1367,1336,1304,1270,1236,1200,1162
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2859,2856,2852,2849,2845,2841,2836,2832,2827,2822,2817,2811,2806,2800,2794,2787,2780,2774,2766,2759,2751,2744,2736,2726,2715,2703,2688,2671,2653,2634,2613,2590,2567,2542,2516,2490,2463,2435,2408,2380,2352,2325,2298,2271,2246,2221,2197,2174,2152,2132,2112,2094,2078,2062,2046,2029,2012,1995,1978,1960,1942,1924,1905,1886,1867,1847,1827,1807,1786,1765,1744,1722,1700,1677,1654,1630,1607,1582,1557,1532,1506,1479,1451,1423,1394,1365,1334,1302,1269,1235
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
